Name,Brand,Price,Currency,Image,AltText,NewImage,URL,ProductID,Size,Supplier,Origin,Category_1,Category_2,Highlights,Description
Crystal Sunflower Oil - 5 L,Crystal,414.75,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h5c/h9e/15070709383198/447683_main.jpg_200Wx200H,Crystal Sunflower Oil - 5 L,https://cdnprod.mafretailproxy.com/sys-master-root/h6b/ha4/15070709514270/447683_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/sunflower-oil/crystal-sunflower-oil-5l/p/447683,447683,5L,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"It is low in saturated fat and is beneficial for heart health.
Healthy, natural sunflower oil is produced from oil type sunflower seeds.","Sunflower oil is light in taste and appearance and supplies more Vitamin E than any other vegetable oil.
It is low in saturated fat and is beneficial for heart health.
Healthy, natural sunflower oil is produced from oil type sunflower seeds."
Crystal Sunflower Oil - 2.2 Liters,Crystal,189.75,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h9a/h45/15070774657054/543989_main.jpg_200Wx200H,Crystal Sunflower Oil - 2.2 Liters,https://cdnprod.mafretailproxy.com/sys-master-root/h59/h49/15070774788126/543989_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/sunflower-oil/crystal-sunflower-oil-2-2-l/p/543989,543989,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"It is low in saturated fat and is beneficial for heart health.
Healthy, natural sunflower oil is produced from oil type sunflower seeds.","Sunflower oil is light in taste and appearance and supplies more Vitamin E than any other vegetable oil.
It is low in saturated fat and is beneficial for heart health.
Healthy, natural sunflower oil is produced from oil type sunflower seeds."
Afia Plus Corn Oil 2.2 Liters,Afia,204,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8a/h50/15173295734814/546296_main.jpg_200Wx200H,Afia Plus Corn Oil 2.2 Liters,https://cdnprod.mafretailproxy.com/sys-master-root/h5a/h57/15173295931422/546296_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/corn-oil/afia-corn-plus-2-2-l/p/546296,546296,2.2L,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"It is rich in nutrients and antioxidants, which cut down on bad cholesterol and protect your body from harmful radicals.","Afia Corn oil is produced to the highest quality and is ideal for the preparation of healthy food.
It is rich in nutrients and antioxidants, which cut down on bad cholesterol and protect your body from harmful radicals."
Al Doha Fine Flour for All Purposes - 1 Kilo,El Doha,28.75,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc0/h40/15127754670110/17966_main.jpg_200Wx200H,Al Doha Fine Flour for All Purposes - 1 Kilo,https://cdnprod.mafretailproxy.com/sys-master-root/hcf/h46/15127754801182/17966_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/baking-flour/eldoha-flour-1k/p/17966,17966,,Carrefour,Egypt,Food Cupboard,Sugar & Home Baking,Promotes healthy metabolism function.,"Strengthens your immune system and improves digestion.
Promotes healthy metabolism function."
Crystal Corn Oil - 2.2 Liters,Crystal,229.5,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h34/h3f/15070774493214/543987_main.jpg_200Wx200H,Crystal Corn Oil - 2.2 Liters,https://cdnprod.mafretailproxy.com/sys-master-root/h43/h45/15070774624286/543987_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/corn-oil/crystal-corn-oil-2-2-l/p/543987,543987,2.2L,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"The oil is rich in vitamins and nutrients to keep you fit and healthy.
You can use this oil for daily cooking.","The Crystal Corn Oil is a great addition to your food ingredients.
The oil is rich in vitamins and nutrients to keep you fit and healthy.
You can use this oil for daily cooking."
Crystal Vegetable Gold Ghee - 1.5kg,Crystal,121.5,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h3b/hab/15070709710878/305569_main.jpg_200Wx200H,Crystal Vegetable Gold Ghee - 1.5kg,https://cdnprod.mafretailproxy.com/sys-master-root/hfa/hae/15070709841950/305569_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/vegetable-ghee/crystal-vegetable-ghee-gold-1-5k/p/305569,305569,1.5Kg,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"The ghee ranks high in nutrients to offer you enhanced nourishment.
Keeps you nourished thanks to the rich nutrient content.
Sure to add flavor to your food thanks to the delicious taste.","Enhance the taste of food by using the Crystal Gold Vegetable Ghee.
It has a classic taste and is sure to satisfy your palate.
The ghee ranks high in nutrients to offer you enhanced nourishment.
Keeps you nourished thanks to the rich nutrient content.
Sure to add flavor to your food thanks to the delicious taste."
El Saa Rice - 1kg,El Saa,39,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he2/hef/14786613182494/334177_main.jpg_200Wx200H,El Saa Rice - 1kg,https://cdnprod.mafretailproxy.com/sys-master-root/hf1/hf5/14786613313566/334177_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/egyptian-rice/elsaa-rice-1k/p/334177,334177,,Carrefour,Egypt,Food Cupboard,"Rice, Pasta & Pulses",,
Crytal Corn Oil - 3.5 L,Crystal,354.75,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h33/hee/10067278004254/419260_main.jpg_200Wx200H,Crytal Corn Oil - 3.5 L,https://cdnprod.mafretailproxy.com/sys-master-root/hf2/hf1/10067278135326/419260_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/corn-oil/crystal-corn-oil-3-5l/p/419260,419260,3.5L,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"The oil is rich in vitamins and nutrients to keep you fit and healthy.
You can use this oil for daily cooking.","The Crystal Corn Oil is a great addition to your food ingredients.
The oil is rich in vitamins and nutrients to keep you fit and healthy.
You can use this oil for daily cooking."
Crystal Vegetable White Ghee - 1.5kg,Crystal,121.5,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc5/h51/15070710104094/305567_main.jpg_200Wx200H,Crystal Vegetable White Ghee - 1.5kg,https://cdnprod.mafretailproxy.com/sys-master-root/hf5/h4a/15070710300702/305567_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/vegetable-ghee/crystal-vegetable-ghee-white-1-5k/p/305567,305567,1.5Kg,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"The ghee ranks high in nutrients to offer you enhanced nourishment.
Keeps you nourished thanks to the rich nutrient content.
Sure to add flavor to your food thanks to the delicious taste.","Enhance the taste of food by using the Crystal White Vegetable Ghee.
It has a classic taste and is sure to satisfy your palate.
The ghee ranks high in nutrients to offer you enhanced nourishment.
Keeps you nourished thanks to the rich nutrient content.
Sure to add flavor to your food thanks to the delicious taste."
Almazag Egyptian White Rice - 1kg,Carrefour,35,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h97/ha8/48263812972574/200Wx200H_606746_main.jpg,Almazag Egyptian White Rice - 1kg,https://cdnprod.mafretailproxy.com/sys-master-root/h0c/h54/48263813300254/1700Wx1700H_606746_main.jpg,https://www.carrefouregypt.com/mafegy/en/egyptian-rice/el-mazag-egyptian-rice-1kg/p/606746,606746,,Carrefour,Egypt,Food Cupboard,"Rice, Pasta & Pulses",,
